name,type,address,postal_code,tel_office_1,tel_office_2,fax_office,latitude,longitude
Singapore Turf Club Equine Hospital,Hospital,1 Turf Club Avenue Singapore Racecourse,738078,68791000,na,68791010,1.42203,103.75921
AAVC - Animal & Avian Veterinary Clinic,Clinic,716 Yishun Street 71 #01-254,760716,68539397,na,68533949,1.42621,103.8277
Acacia Veterinary Clinic,Clinic,338 Ang Mo Kio Avenue 1 #01-1671,560338,64816889,na,na,1.3639,103.84899
Allpets & Aqualife Vets Pte Ltd�,Clinic,24 Jalan Kelulut,809041,64813700,na,64816990,1.38342,103.87562
Amber Veterinary Practice Pte Ltd,Clinic,"50 Burnfoot Terrace, Frankel Estate",459837,62455543,na,62452334,1.31268,103.92275
AMK Veterinary Surgery (2009) Pte Ltd,Clinic,5 Mandai Road,779391,64515242,na,64514001,1.40227,103.81675
Animal Ark Veterinary Group (Animal Ark Binjai),Clinic,11 Binjai Park,589823,61006000,na,64623319,1.33619,103.78678
Animal Ark Veterinary Group (Animal Ark Greendale),Clinic,3 Greendale Avenue,289498,64637100,na,64637144,1.3316,103.80713
Animal Ark Veterinary Group (Animal Ark Tampines),Clinic,139 Tampines Street 11 #01-42,521139,65871797,na,67864506,1.34608,103.94428
Animal Ark Veterinary Group (TCM),Clinic,139 Tampines Street 11 #01-62,521139,67893578,na,67820416,1.34608,103.94428
Animal Infirmary,Clinic,74 Thomson Road,307590,63582663,na,63582629,1.31605,103.84514
Animal Medical Centre (VET@RV) Pte Ltd,Clinic,"78 Indus Road #01-487, Indus Garden",161078,62710665,na,62710171,1.2913,103.82745
Animal Practice Pte Ltd,Clinic,1015 Upper Serangoon Road #01-00,534753,62883929,na,62881823,1.36277,103.88751
Animal Recovery Veterinary Referral Center Pte Ltd,Clinic,466 Serangoon Road,218225,62522623,62522284,62522836,1.31343,103.857
Animal World Veterinary Clinic Pte Ltd,Clinic,16 Yio Chu Kang Road,545527,62860929,na,62860959,1.35472,103.87769
Brighton Vet Care Pte Ltd,Clinic,"74 Serangoon Garden Way, Serangoon Garden Estate",555970,62822484,na,62822434,1.36423,103.86523
